States/UTs,I-2009,I-2010,I-2011,I-2012,KOS 2008,KOS 2009,KOS 2010,KOS 2011,KOS 2012,KOS 2013,KOS 2014,KOS 2015,KOS 2016,AAD 2008,AAD 2009,AAD 2010,AAD 2011,AAD 2012, AAD 2013,AAD 2014,AAD 2015,AAD 2016
Andhra Pradesh,52157,53928,55583,51552,7471,6407,5211,4560,6201,4448,4190,4101,5564,1591,4469,2877,2205,1660,1315,594,490,128
Arunachal Pradesh,530,491,438,399,32,35,42,72,15,27,11,12,41,25,20,8,8,25,36,11,22,15
Assam,5522,7579,6505,6709,843,1244,1400,1233,1430,1341,1465,1281,1094,530,279,361,760,347,807,613,611,352
Bihar,7113,8106,7083,7142,1008,1551,1452,1748,1266,1205,746,1366,1509,1944,1011,930,1590,1572,1532,1680,1457,593
Chhattisgarh,13274,13599,13929,13517,1347,1474,1382,1431,1186,1307,1750,1709,1735,855,266,1241,304,277,310,335,227,145
Goa,2954,2709,2318,2086,271,211,214,240,226,208,217,217,306,42,15,29,30,23,13,9,6,3
Gujarat,32944,32449,29744,27650,4373,4611,4898,5385,4640,4498,4893,4861,4611,540,1339,234,212,231,40,42,361,64
Haryana,10481,9905,9727,9452,2580,2080,2089,2090,2075,1635,1675,1674,1113,427,381,365,368,316,1021,1095,1092,529
Himachal Pradesh,5579,5325,5462,5248,388,764,619,696,767,944,1089,941,187,34,51,101,58,50,82,74,50,72
Jammu and Kashmir,8199,8726,10012,9755,603,709,570,699,573,399,231,214,432,378,62,133,92,212,388,388,375,47
Jharkhand,4406,4872,4811,4974,633,995,1189,924,1050,783,712,780,440,725,695,1005,1220,909,444,611,1518,543
Karnataka,61697,61774,59591,58659,5678,4501,6657,5205,4304,5231,6116,3964,8037,513,967,299,541,577,495,2207,298,396
Kerala,41402,41473,41379,41915,2317,2307,2462,2606,2707,2683,2538,2083,3300,67,63,65,67,168,28,35,49,133
Madhya Pradesh,54611,56897,55545,55994,4034,4284,4471,4300,3494,5201,3850,3244,5188,1899,4480,4082,4028,5374,4301,3540,2665,3083
Maharashtra,47878,46985,45628,43847,8704,4404,7301,8549,8607,8587,7789,7758,7787,2169,1868,2407,2452,2350,2187,1251,1345,226
Manipur,1189,1132,1118,1391,22,42,20,22,0,0,0,0,12,105,138,33,140,0,0,0,0,71
Meghalaya,713,461,591,322,69,26,84,67,20,18,15,41,35,9,39,33,93,56,29,25,137,35
Mizoram,203,252,215,172,35,15,29,10,37,46,48,18,16,18,15,27,17,46,13,16,15,27
Nagaland,151,121,107,49,25,0,0,0,NA,0,12,2,6,9,0,2,4,5,10,91,2,13
Odisha,11296,11399,11248,10715,1330,406,1463,1408,1439,1782,1622,3160,2098,819,813,858,1141,846,739,637,972,1255
Punjab,4486,4071,4081,3997,1478,1219,1336,1674,1739,1600,1727,2001,1923,130,488,539,226,82,147,442,118,317
Rajasthan,32317,31033,28666,28135,4736,4681,4451,4650,4621,4244,4774,4920,6242,1132,1139,1804,1159,779,1451,915,667,673
Sikkim,434,399,321,336,28,15,9,7,7,8,8,5,26,52,0,36,27,1,5,8,30,12
Tamil Nadu,70504,75445,74245,78348,5703,5695,6323,6412,8043,7343,7155,9380,11444,363,2208,2439,3096,3096,2764,1416,818,531
Telangana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2156,4962.88,3541,NA,NA,NA,NA,NA,NA,968,42,202
Tripura,1342,1269,1030,1237,175,209,163,168,148,136,123,101,129,23,0,0,19,7,4,12,13,5
Uttarakhand,1784,1656,1712,1577,575,473,456,466,231,405,31,152,437,9,4,0,1,240,9,508,6,40
Uttar Pradesh,20632,20113,15513,22155,2803,2880,1468,4629,2947,1321,1155,3347,5471,4155,4404,2305,4706,4558,2049,1232,2403,4633
West Bengal,12186,15760,14962,13773,1670,1576,143,0,2397,797,1619,1451,535,1555,1894,8663,0,NA,0,0,413,462
Andaman and Nicobar Islands,342,373,298,288,15,19,18,16,25,36,10,8,11,23,27,26,21,18,20,25,30,27
Chandigarh,321,415,370,347,20,88,17,NA,24,5,62,61,142,4,0,0,NA,17,1,11,8,9
Dadra and Nagar Haveli,71,134,210,122,65,45,15,63,17,49,15,8,4,0,0,73,0,58,0,1,6,0
Daman and Diu,69,43,37,39,5,14,12,8,8,15,6,2,12,1,0,1,1,7,1,0,7,7
Delhi,6936,7108,7226,6633,0,0,0,365,329,NA,NA,640,318,0,8,12,46,60,41,51,40,164
Lakshadweep,3,5,0,3,0,0,0,0,NA,0,0,0,0,0,1,0,0,2,0,0,0,0
Puducherry,1732,1505,1689,1129,210,212,239,229,147,227,34,168,150,4,8,12,23,10,8,73,5,82
